Name,Subtitle,Efficiency,FastChargeSpeed,Power,NumberofSeats,PriceinGermany,PriceinUK,Range (ml),Acceleration Per/Sec,Top Speed (KM/H),Price_USD,Is_front_wheel_drive,Is_All_Wheel_Drive,Is_Rear_Wheel_Drive,Speed New,Battery_clean
Polestar 2 Long Range Single Motor,Battery Electric Vehicle |       75 kWh ,176 Wh/km,550 km/h,Front Wheel Drive,5,49500,"£42,900",425,7.4,160,57432.46,True,False,False,341.75,75.0
Polestar 2 Long Range Dual Motor,Battery Electric Vehicle |       75 kWh ,190 Wh/km,510 km/h,All Wheel Drive,5,52500,"£45,900",395,4.7,205,60913.21,False,True,False,316.9,75.0
Volkswagen ID.4 Pure,Battery Electric Vehicle |       52 kWh,182 Wh/km,410 km/h,Rear Wheel Drive,5,36950,"£32,150",285,10.9,160,42871.3,False,False,True,254.76,52.0
Audi Q4 e-tron 40,Battery Electric Vehicle |       76.6 kWh,189 Wh/km,500 km/h,Rear Wheel Drive,5,47500,"£44,990",405,8.5,160,55111.95,False,False,True,310.69,76.6
Audi Q4 e-tron 50 quattro,Battery Electric Vehicle |       76.6 kWh,199 Wh/km,470 km/h,All Wheel Drive,5,53600,"£51,370",385,6.2,180,62189.49,False,True,False,292.04,76.6
Audi Q4 Sportback e-tron 50 quattro,Battery Electric Vehicle |       76.6 kWh,192 Wh/km,490 km/h,All Wheel Drive,5,55600,"£52,870",400,6.2,180,64509.99,False,True,False,304.47,76.6
Mercedes EQB 350 4MATIC,Battery Electric Vehicle |       66.5 kWh,196 Wh/km,400 km/h,All Wheel Drive,7,60000,"£50,000",340,6.5,160,69615.1,False,True,False,248.55,66.5
Volkswagen ID.4 GTX,Battery Electric Vehicle |       77 kWh,193 Wh/km,490 km/h,All Wheel Drive,5,50415,"£55,540",400,6.2,180,58494.09,False,True,False,304.47,77.0
Mercedes EQA 300 4MATIC,Battery Electric Vehicle |       66.5 kWh,190 Wh/km,420 km/h,All Wheel Drive,5,53538,,350,7.7,160,62117.55,False,True,False,260.98,66.5
Mercedes EQA 350 4MATIC,Battery Electric Vehicle |       66.5 kWh,190 Wh/km,420 km/h,All Wheel Drive,5,56216,,350,6.0,160,65224.71,False,True,False,260.98,66.5
Toyota PROACE Verso M 50 kWh,Battery Electric Vehicle |       45 kWh ,243 Wh/km,250 km/h,Front Wheel Drive,7,58530,,185,12.1,130,67909.53,True,False,False,155.34,45.0
Toyota PROACE Verso L 50 kWh,Battery Electric Vehicle |       45 kWh ,250 Wh/km,240 km/h,Front Wheel Drive,7,59385,,180,12.1,130,68901.54,True,False,False,149.13,45.0
Toyota PROACE Verso M 75 kWh,Battery Electric Vehicle |       68 kWh ,252 Wh/km,290 km/h,Front Wheel Drive,7,64530,,270,13.1,130,74871.04,True,False,False,180.2,68.0
Toyota PROACE Verso L 75 kWh,Battery Electric Vehicle |       68 kWh ,252 Wh/km,290 km/h,Front Wheel Drive,7,65385,,270,13.1,130,75863.05,True,False,False,180.2,68.0
CUPRA Born 150 kW - 62 kWh,Battery Electric Vehicle |       58 kWh,166 Wh/km,440 km/h,Rear Wheel Drive,5,36770,"£30,500",350,7.3,160,42662.45,False,False,True,273.4,58.0
CUPRA Born 170 kW - 62 kWh,Battery Electric Vehicle |       58 kWh,168 Wh/km,430 km/h,Rear Wheel Drive,5,39000,"£31,500",345,6.6,160,45249.81,False,False,True,267.19,58.0
CUPRA Born 170 kW - 82 kWh,Battery Electric Vehicle |       77 kWh,171 Wh/km,550 km/h,Rear Wheel Drive,5,43000,"£42,000",450,7.0,160,49890.82,False,False,True,341.75,77.0
BMW i4 M50,Battery Electric Vehicle |       80.7 kWh,179 Wh/km,630 km/h,All Wheel Drive,5,69900,"£63,905",450,3.9,225,81101.59,False,True,False,391.46,80.7
Volvo XC40 Recharge Twin Pure Electric,Battery Electric Vehicle |       75 kWh,221 Wh/km,440 km/h,All Wheel Drive,5,59250,"£49,950",340,4.9,180,68744.91,False,True,False,273.4,75.0
Renault Megane E-Tech Electric,Battery Electric Vehicle |       60 kWh ,179 Wh/km,480 km/h,Front Wheel Drive,5,38000,"£32,500",335,8.0,160,44089.56,True,False,False,298.26,60.0
Peugeot e-Rifter Standard 50 kWh,Battery Electric Vehicle |       45 kWh ,225 Wh/km,270 km/h,Front Wheel Drive,7,37590,"£30,375",200,11.7,135,43613.86,True,False,False,167.77,45.0
Peugeot e-Rifter Long 50 kWh,Battery Electric Vehicle |       45 kWh ,231 Wh/km,260 km/h,Front Wheel Drive,7,42590,"£32,455",195,11.7,135,49415.12,True,False,False,161.56,45.0
MG Marvel R ,Battery Electric Vehicle |       65 kWh ,191 Wh/km,390 km/h,Rear Wheel Drive,5,40000,,340,7.9,200,46410.07,False,False,True,242.33,65.0
Tesla Model 3 Long Range Dual Motor,Battery Electric Vehicle |       76 kWh ,155 Wh/km,820 km/h,All Wheel Drive,5,53560,,490,4.4,233,62143.08,False,True,False,509.52,76.0
MG MG5 EV Long Range,Battery Electric Vehicle |       57 kWh ,168 Wh/km,340 km/h,Front Wheel Drive,5,0,"£26,495",340,7.7,185,0.0,True,False,False,211.27,57.0
